Daily samples collected for Testing,Daily samples reported as negative,Daily Samples Positive for COVID-19,People in Oberservation,KIA-Passengers,Mangalore-Passengers,Seaport M and K- passengers
579,460,6,,72726,27172,5394
60,80,0,1345,2728,615,
92,50,0,1657,3004,791,5439
131,19,0,1877,2376,358,5458
33,86,1,2221,2025,748,5505
48,71,4,2572,2145,408,5553
125,103,3,2935,1876,563,5622
75,46,1,3049,2079,566,5695
64,55,0,4030,616,566,5759
170,26,5,4681,1521,474,5826
10,112,6,10219,1406,271,5918
96,45,7,12029,1369,,6022
160,43,8,12406,,,
278,175,10,13246,,,46
293,190,4,14066,,,
237,150,9,14115,,,
195,141,12,14115,,,
179,229,7,14115,,,
172,207,5,42929,,,
206,198,13,45247,,,
244,182,9,45034,,,
384,235,14,42564,,,
344,321,4,37358,,,
400,304,16,32647,,,
482,471,7,30509,,,
325,324,12,29962,,,
617,437,12,26871,,,
516,424,6,25971,,,
572,656,16,23671,,,
574,497,10,23089,,,
585,558,8,20997,,,
691,600,17,19658,,,
1196,741,15,18598,,,
1507,982,13,15189,,,
2465,1351,19,13812,,,
2780,1169,36,13413,,,
3412,1532,44,13313,,,
2788,1052,25,12413,,,
2181,2004,6,13546,,,
2093,1835,18,13617,,,
2773,2725,10,14341,,,
3279,3202,9,15864,,,
2798,2750,18,18247,,,
3836,3740,29,19407,,,
3125,2974,26,21085,,,
3815,3319,3,23284,,,
2721,2639,9,23942,,,
4827,4717,11,23943,,,
4892,4733,11,24013,,,
4752,4307,30,23871,,,
4742,4406,24,24133,,,
4832,4620,12,23238,,,
5168,4523,13,23238,,,
4295,3666,37,25684,,,
4613,4196,22,26197,,,
4971,4784,20,26394,,,
4758,4700,12,26197,,,
4546,4481,48,25865,,,
4160,4016,41,25399,,,
5068,4940,54,25432,,,
4284,4201,14,23776,,,
4938,4797,63,22474,,,
4645,4574,34,20700,,,
7195,7097,28,21383,,,
5351,5308,69,20331,,,
6300,6142,36,19688,,,
5374,5228,55,18648,,,
6265,6122,99,22287,,,
6936,6681,149,23187,,,
8182,7952,67,23187,,,
7516,7285,143,23604,,,
12229,11604,138,24179,,,
9670,9039,216,25667,442,,
10117,9851,130,26143,749,,
13581,13330,93,27325,0,,
9020,8169,101,25852,0,,
12694,12399,135,25091,491,,
10470,10239,115,23851,137,,
12411,12015,248,25860,172,,
15728,15274,141,28538,208,,
13358,12841,299,29239,353,,
11241,10807,187,30471,0,,
14812,13915,388,32239,8,,
15197,14719,267,34522,82,,
12268,11468,257,37733,155,,
13627,12797,515,36787,64,,
11862,11431,378,35632,248,,
11860,11017,239,41150,0,,
8779,8231,308,40477,0,,
7036,6397,161,42500,231,,
8249,7576,120,44160,0,,
8000,7502,204,46765,235,,
9835,9139,271,34231,178,,
10177,9529,308,35552,531,,
7451,6835,176,35946,454,,
5362,4738,213,35677,0,,
7936,7308,317,36373,642,,
7531,6794,204,35586,195,,
8709,8028,210,34657,373,,
10553,9862,337,34984,0,,
9833,9019,416,33930,138,,
12872,11988,453,34768,357,,
9204,8576,249,35605,258,,
10569,9813,322,37338,417,,
12709,11654,397,38909,406,,
14078,12343,442,39421,292,,
14733,13817,445,39954,100,,
13577,12547,918,41023,89,,
13835,12448,1267,35509,365,,
9689,8794,1105,42847,70,,
15588,14300,947,43625,0,,
16670,15185,1272,45258,0,,
16210,14470,1502,44950,0,,
18307,16290,1696,82082,0,,
17592,15294,1839,56341,0,,
16899,14649,1925,53803,0,,
15880,13742,1843,56927,0,,
